configuration_id,arm,pool,objective_value,optimality_bound,optimality_ratio,computable
A1_l0.0,A1,full_eligible_store,,,,False
A1_l0.1,A1,full_eligible_store,,,,False
A1_l0.2,A1,full_eligible_store,,,,False
A1_l0.3,A1,full_eligible_store,,,,False
A1_l0.4,A1,full_eligible_store,,,,False
A1_l0.5,A1,full_eligible_store,,,,False
A1_l0.6,A1,full_eligible_store,,,,False
A1_l0.7,A1,full_eligible_store,,,,False
A1_l0.8,A1,full_eligible_store,,,,False
A1_l0.9,A1,full_eligible_store,,,,False
A1_l1.0,A1,full_eligible_store,,,,False
A2_r0.0,A2,full_eligible_store,57.183589935302734,57.20647436835325,0.9995999677780673,True
A2_r0.5,A2,full_eligible_store,58.55318832397461,58.78067350387573,0.9961299324022526,True
A2_r1.0,A2,full_eligible_store,59.009735107421875,59.20525113758722,0.9966976572785582,True
A3_l0.0_r0.0_k02,A3,full_eligible_store,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k04,A3,full_eligible_store,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k08,A3,full_eligible_store,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.0_k16,A3,full_eligible_store,4.222035616636276,4.253812023714268,0.9925298986177942,True
A3_l0.0_r0.5_k02,A3,full_eligible_store,4.925568550825119,5.027993132950554,0.9796291324556107,True
A3_l0.0_r0.5_k04,A3,full_eligible_store,4.925568550825119,5.027993132950554,0.9796291324556107,True
A3_l0.0_r0.5_k08,A3,full_eligible_store,4.925568550825119,5.027993132950554,0.9796291324556107,True
A3_l0.0_r0.5_k16,A3,full_eligible_store,4.925568550825119,5.027993132950554,0.9796291324556107,True
A3_l0.0_r1.0_k02,A3,full_eligible_store,5.0290908217430115,5.073352968692779,0.9912755632768101,True
A3_l0.0_r1.0_k04,A3,full_eligible_store,5.0290908217430115,5.073352968692779,0.9912755632768101,True
A3_l0.0_r1.0_k08,A3,full_eligible_store,5.0290908217430115,5.073352968692779,0.9912755632768101,True
A3_l0.0_r1.0_k16,A3,full_eligible_store,5.0290908217430115,5.073352968692779,0.9912755632768101,True
A3_l0.1_r0.0_k02,A3,full_eligible_store,4.422035616636276,4.453812023714268,0.9928653461554285,True
A3_l0.1_r0.0_k04,A3,full_eligible_store,4.989051559567452,5.129319618599898,0.9726536715466497,True
A3_l0.1_r0.0_k08,A3,full_eligible_store,4.722035616636276,4.753812023714268,0.9933155945335079,True
A3_l0.1_r0.0_k16,A3,full_eligible_store,5.582934957742691,5.624144130141417,0.9926728100409316,True
A3_l0.1_r0.5_k02,A3,full_eligible_store,5.125568550825119,5.227993132950554,0.9804084321611132,True
A3_l0.1_r0.5_k04,A3,full_eligible_store,5.325568550825119,5.427993132950554,0.9811303036653329,True
A3_l0.1_r0.5_k08,A3,full_eligible_store,5.581057488918304,5.60233191349508,0.9962025769081034,True
A3_l0.1_r0.5_k16,A3,full_eligible_store,5.760531592369079,5.806958202097258,0.9920050036331567,True
A3_l0.1_r1.0_k02,A3,full_eligible_store,5.219054122269154,5.269566732611168,0.9904142763712597,True
