configuration_id,arm,pool,lambda,r,k,q11_fact_count,q11_domain_count,civil,art,monetary,marine,serialized_chars,selected_episode_count,facts_per_10k_chars,prior_answer_fraction,oracle_overlap,optimality_ratio,targeted_preserved,targeted_required,primary_gate,no_regression_gate,surrogate_gate
A3_l0.0_r1.0_k16,A3,full_eligible_store,0.0,1.0,16,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9913,16,16,True,True,False
A3_l0.1_r0.0_k02,A3,full_eligible_store,0.1,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9929,16,16,True,True,False
A3_l0.1_r0.0_k04,A3,full_eligible_store,0.1,0.0,4,10,3,5,0,1,4,31462,13,3.178,0.231,3,0.9727,16,16,True,True,False
A3_l0.1_r0.0_k08,A3,full_eligible_store,0.1,0.0,8,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9933,16,16,True,True,False
A3_l0.1_r0.0_k16,A3,full_eligible_store,0.1,0.0,16,12,4,5,2,1,4,31569,15,3.801,0.333,4,0.9927,16,16,True,True,True
A3_l0.1_r0.5_k02,A3,full_eligible_store,0.1,0.5,2,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9804,16,16,True,True,True
A3_l0.1_r0.5_k04,A3,full_eligible_store,0.1,0.5,4,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9811,16,16,True,True,True
A3_l0.1_r0.5_k08,A3,full_eligible_store,0.1,0.5,8,11,3,5,2,0,4,31774,16,3.462,0.312,4,0.9962,16,16,True,True,False
A3_l0.1_r0.5_k16,A3,full_eligible_store,0.1,0.5,16,10,3,5,1,0,4,31578,15,3.167,0.267,3,0.992,16,16,True,True,False
A3_l0.1_r1.0_k02,A3,full_eligible_store,0.1,1.0,2,11,3,5,2,0,4,31358,17,3.508,0.294,4,0.9904,16,16,True,True,False
A3_l0.1_r1.0_k04,A3,full_eligible_store,0.1,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9919,16,16,True,True,False
A3_l0.1_r1.0_k08,A3,full_eligible_store,0.1,1.0,8,11,3,5,2,0,4,31775,17,3.462,0.294,4,0.9967,16,16,True,True,False
A3_l0.1_r1.0_k16,A3,full_eligible_store,0.1,1.0,16,11,3,5,2,0,4,31858,17,3.453,0.294,4,0.9979,16,16,True,True,False
A3_l0.2_r0.0_k02,A3,full_eligible_store,0.2,0.0,2,7,3,3,0,1,3,31957,11,2.19,0.0,0,0.9932,16,16,True,True,False
A3_l0.2_r0.0_k04,A3,full_eligible_store,0.2,0.0,4,10,3,5,0,1,4,31462,13,3.178,0.231,3,0.9746,16,16,True,True,False
A3_l0.2_r0.0_k08,A3,full_eligible_store,0.2,0.0,8,7,3,3,0,1,3,31662,11,2.211,0.0,0,0.9548,16,16,True,True,False
A3_l0.2_r0.0_k16,A3,full_eligible_store,0.2,0.0,16,11,3,5,3,0,3,31961,13,3.442,0.154,2,0.9981,16,16,True,True,False
A3_l0.2_r0.5_k02,A3,full_eligible_store,0.2,0.5,2,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9811,16,16,True,True,True
A3_l0.2_r0.5_k04,A3,full_eligible_store,0.2,0.5,4,11,4,5,1,1,4,31069,15,3.541,0.267,3,0.9824,16,16,True,True,True
A3_l0.2_r0.5_k08,A3,full_eligible_store,0.2,0.5,8,10,3,5,1,0,4,31552,15,3.169,0.267,3,0.992,16,16,True,True,False
A3_l0.2_r0.5_k16,A3,full_eligible_store,0.2,0.5,16,10,3,5,1,0,4,31382,16,3.187,0.25,3,0.99,16,16,True,True,False
A3_l0.2_r1.0_k02,A3,full_eligible_store,0.2,1.0,2,11,3,5,2,0,4,31862,17,3.452,0.294,4,0.998,16,16,True,True,False
A3_l0.2_r1.0_k04,A3,full_eligible_store,0.2,1.0,4,11,3,5,2,0,4,31399,17,3.503,0.294,4,0.9925,16,16,True,True,False
A3_l0.2_r1.0_k08,A3,full_eligible_store,0.2,1.0,8,11,3,5,2,0,4,31916,17,3.447,0.294,4,0.9989,16,16,True,True,False
A3_l0.2_r1.0_k16,A3,full_eligible_store,0.2,1.0,16,11,3,5,2,0,4,31686,17,3.472,0.294,4,0.9956,16,16,True,True,False
