configuration_id,arm,pool,q11_fact_count,q11_domain_count,serialized_chars,oracle_overlap
A3_l0.5_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.5_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.5_r0.5_k16,A3,full_eligible_store,10,3,31382,3
A3_l0.5_r1.0_k02,A3,full_eligible_store,11,3,31862,4
A3_l0.5_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.5_r1.0_k08,A3,full_eligible_store,11,3,30740,4
A3_l0.5_r1.0_k16,A3,full_eligible_store,10,3,31638,3
A3_l0.6_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.6_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.6_r0.0_k08,A3,full_eligible_store,7,3,31924,1
A3_l0.6_r0.0_k16,A3,full_eligible_store,8,4,31967,0
A3_l0.6_r0.5_k02,A3,full_eligible_store,11,4,31633,3
A3_l0.6_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.6_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.6_r0.5_k16,A3,full_eligible_store,10,3,31614,2
A3_l0.6_r1.0_k02,A3,full_eligible_store,11,3,31862,4
A3_l0.6_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.6_r1.0_k08,A3,full_eligible_store,11,3,30740,4
A3_l0.6_r1.0_k16,A3,full_eligible_store,10,3,31638,3
A3_l0.7_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.7_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.7_r0.0_k08,A3,full_eligible_store,7,3,31924,1
A3_l0.7_r0.0_k16,A3,full_eligible_store,8,4,31967,0
A3_l0.7_r0.5_k02,A3,full_eligible_store,11,4,31633,3
A3_l0.7_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.7_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.7_r0.5_k16,A3,full_eligible_store,10,3,31614,2
A3_l0.7_r1.0_k02,A3,full_eligible_store,11,3,31862,4
A3_l0.7_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.7_r1.0_k08,A3,full_eligible_store,11,3,30471,4
A3_l0.7_r1.0_k16,A3,full_eligible_store,12,3,31227,3
A3_l0.8_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.8_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.8_r0.0_k08,A3,full_eligible_store,7,3,31924,1
A3_l0.8_r0.0_k16,A3,full_eligible_store,8,4,31967,0
A3_l0.8_r0.5_k02,A3,full_eligible_store,11,4,31633,3
A3_l0.8_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.8_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.8_r0.5_k16,A3,full_eligible_store,10,3,31638,3
A3_l0.8_r1.0_k02,A3,full_eligible_store,11,3,31862,4
A3_l0.8_r1.0_k04,A3,full_eligible_store,11,3,31399,4
A3_l0.8_r1.0_k08,A3,full_eligible_store,11,3,30471,4
A3_l0.8_r1.0_k16,A3,full_eligible_store,10,3,31012,3
A3_l0.9_r0.0_k02,A3,full_eligible_store,7,3,31957,0
A3_l0.9_r0.0_k04,A3,full_eligible_store,10,3,31462,3
A3_l0.9_r0.0_k08,A3,full_eligible_store,7,3,31924,1
A3_l0.9_r0.0_k16,A3,full_eligible_store,8,4,31967,0
A3_l0.9_r0.5_k02,A3,full_eligible_store,11,4,31633,3
A3_l0.9_r0.5_k04,A3,full_eligible_store,11,4,31069,3
A3_l0.9_r0.5_k08,A3,full_eligible_store,10,3,31834,3
A3_l0.9_r0.5_k16,A3,full_eligible_store,10,3,31638,3
A3_l0.9_r1.0_k02,A3,full_eligible_store,11,3,31944,4
A3_l0.9_r1.0_k04,A3,full_eligible_store,11,3,31821,4
