configuration_id,arm,pool,civil,art,monetary,marine,q11_fact_count,q11_domain_count
A3_l0.6_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.6_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.6_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.6_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.7_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.7_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.7_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.7_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.7_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.7_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.7_r1.0_k16,A3,cosine_top_100,5,3,0,4,12,3
A3_l0.8_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.8_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.8_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.8_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.8_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.8_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.8_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.8_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.8_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.8_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.8_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.8_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l0.9_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l0.9_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l0.9_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l0.9_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l0.9_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l0.9_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l0.9_r1.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r0.0_k02,A3,cosine_top_100,3,0,1,3,7,3
A3_l1.0_r0.0_k04,A3,cosine_top_100,4,0,1,0,5,2
A3_l1.0_r0.0_k08,A3,cosine_top_100,5,0,0,3,8,2
A3_l1.0_r0.0_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r0.5_k02,A3,cosine_top_100,5,1,1,4,11,4
A3_l1.0_r0.5_k04,A3,cosine_top_100,5,2,1,4,12,4
A3_l1.0_r0.5_k08,A3,cosine_top_100,5,1,0,4,10,3
A3_l1.0_r0.5_k16,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r1.0_k02,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r1.0_k04,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r1.0_k08,A3,cosine_top_100,5,2,0,4,11,3
A3_l1.0_r1.0_k16,A3,cosine_top_100,5,4,0,4,13,3
A1_l0.0,A1,deployed_n_union_k,5,0,1,1,7,3
A1_l0.1,A1,deployed_n_union_k,5,0,4,4,13,3
A1_l0.2,A1,deployed_n_union_k,4,0,1,1,6,3
A1_l0.3,A1,deployed_n_union_k,4,0,1,1,6,3
A1_l0.4,A1,deployed_n_union_k,5,0,1,4,10,3
A1_l0.5,A1,deployed_n_union_k,2,0,1,1,4,3
A1_l0.6,A1,deployed_n_union_k,4,0,1,0,5,2
A1_l0.7,A1,deployed_n_union_k,4,0,1,0,5,2
A1_l0.8,A1,deployed_n_union_k,4,0,1,0,5,2
A1_l0.9,A1,deployed_n_union_k,4,0,1,0,5,2
A1_l1.0,A1,deployed_n_union_k,4,0,1,0,5,2
A2_r0.0,A2,deployed_n_union_k,4,0,4,1,9,3
A2_r0.5,A2,deployed_n_union_k,4,0,4,1,9,3
A2_r1.0,A2,deployed_n_union_k,4,0,4,1,9,3
A3_l0.0_r0.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.0_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.5_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.5_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.5_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r0.5_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r1.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r1.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r1.0_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.0_r1.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.0_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.5_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.5_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.5_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r0.5_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r1.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r1.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r1.0_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.1_r1.0_k16,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.2_r0.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.0_k08,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.5_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.5_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r0.5_k08,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.2_r0.5_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r1.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r1.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.2_r1.0_k08,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.2_r1.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.0_k08,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.3_r0.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.5_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.5_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r0.5_k08,A3,deployed_n_union_k,3,0,1,1,5,3
A3_l0.3_r0.5_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r1.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.3_r1.0_k04,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.3_r1.0_k08,A3,deployed_n_union_k,5,0,1,1,7,3
A3_l0.3_r1.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.4_r0.0_k02,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.4_r0.0_k04,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.4_r0.0_k08,A3,deployed_n_union_k,4,0,1,1,6,3
A3_l0.4_r0.0_k16,A3,deployed_n_union_k,4,0,1,0,5,2
A3_l0.4_r0.5_k02,A3,deployed_n_union_k,4,0,1,0,5,2
