cell,probe_count,swap_count,query_count,attempt_count,probe_recall_count,attempt_outcomes,probe_terminal_classes,emitted_count_distribution,attempts_per_query_distribution,unique_emitted_episode_count,unused_episode_count,unsafe_witnesses,unsafe_witnesses_rejected,no_rejected_family_output,all_accepted_families_unanimous,all_active_counts_exact,all_values_finite,eligible,deterministic_digest,wall_seconds,observed_rss_bytes
p3_s1,3,1,24,194,582,"{'accepted': 192, 'cycle': 1, 'spurious': 1}","{'cycle': 2, 'spurious': 3, 'stored': 577}","{'minimum': 8, 'median': 8.0, 'maximum': 8}","{'minimum': 8, 'median': 8.0, 'maximum': 10}",53,66,"{'bb2ccca6baafa7920e0e112cc4a34aded69c3b1d7e5370f52e77c33bfcada256': {'encountered': 1, 'outcomes': ['cycle'], 'emitted_indices': [None]}, 'daf89fd2e81596c34e742709e811b34d860e3c862a5337f224729f33da5ad662': {'encountered': 1, 'outcomes': ['spurious'], 'emitted_indices': [None]}}",True,True,True,True,True,True,f30072df006bb65cd74742f856a3e4a0541ae07845a725ec7a914b3f8ef5892f,1.7391724000044633,47968256
p3_s4,3,4,24,196,588,"{'accepted': 192, 'cycle': 2, 'disagreement': 1, 'spurious': 1}","{'cycle': 3, 'spurious': 3, 'stored': 582}","{'minimum': 8, 'median': 8.0, 'maximum': 8}","{'minimum': 8, 'median': 8.0, 'maximum': 11}",52,67,"{'bb2ccca6baafa7920e0e112cc4a34aded69c3b1d7e5370f52e77c33bfcada256': {'encountered': 1, 'outcomes': ['cycle'], 'emitted_indices': [None]}, 'daf89fd2e81596c34e742709e811b34d860e3c862a5337f224729f33da5ad662': {'encountered': 1, 'outcomes': ['spurious'], 'emitted_indices': [None]}}",True,True,True,True,True,True,a5f83e29b88edc7fd47d7ea17ae334fdcc39daab6abad369dfbe382f9d9e8906,1.761172099999385,50610176
p5_s1,5,1,24,194,970,"{'accepted': 192, 'cycle': 1, 'spurious': 1}","{'cycle': 3, 'spurious': 5, 'stored': 962}","{'minimum': 8, 'median': 8.0, 'maximum': 8}","{'minimum': 8, 'median': 8.0, 'maximum': 10}",53,66,"{'bb2ccca6baafa7920e0e112cc4a34aded69c3b1d7e5370f52e77c33bfcada256': {'encountered': 1, 'outcomes': ['cycle'], 'emitted_indices': [None]}, 'daf89fd2e81596c34e742709e811b34d860e3c862a5337f224729f33da5ad662': {'encountered': 1, 'outcomes': ['spurious'], 'emitted_indices': [None]}}",True,True,True,True,True,True,416779e33aab2196f702d2a44a75ce8fc48176c2f228e7cdf647d52dc8bf1e98,2.0677033999818377,51036160
p5_s4,5,4,24,197,985,"{'accepted': 192, 'cycle': 3, 'disagreement': 1, 'spurious': 1}","{'cycle': 9, 'spurious': 5, 'stored': 971}","{'minimum': 8, 'median': 8.0, 'maximum': 8}","{'minimum': 8, 'median': 8.0, 'maximum': 12}",53,66,"{'bb2ccca6baafa7920e0e112cc4a34aded69c3b1d7e5370f52e77c33bfcada256': {'encountered': 1, 'outcomes': ['cycle'], 'emitted_indices': [None]}, 'daf89fd2e81596c34e742709e811b34d860e3c862a5337f224729f33da5ad662': {'encountered': 1, 'outcomes': ['spurious'], 'emitted_indices': [None]}}",True,True,True,True,True,True,70b23e1d5b06af7ec1da797dca829ce6248a5816d2f8ab6d31518cb02a2c985b,2.0662212000170257,51093504
