turn,topic_id,topic,event_type,segmenter,extractor,episodes_evaluated,spans_evaluated,spans_eligible,survivors,records_written,marker_written,duplicates_collapsed,inference_calls
31,f2d154ee-1364-4de7-8f5f-2c7ae3b92341,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,798,320,319,50,False,1,0
61,b667bd37-ef6f-4a8b-8511-9a02581b120c,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,844,417,417,50,False,0,0
91,0bd7be2f-1b71-4e9b-8149-51fb1d7eedb0,topic_4,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,1002,404,404,50,False,0,0
111,ad30fb43-1a11-4647-802d-63a1307decc5,topic_5,end_of_session_flush,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,21,624,182,182,50,False,0,0
