group_type,group,query_count,C0_macro_packed_recall,T1_macro_packed_recall,delta
class,chained,8,0.5625,0.5,-0.0625
class,enumeration,4,0.0625,0.0625,0.0
class,lookup,12,0.75,0.6666666666666666,-0.08333333333333337
domain,art,10,0.375,0.375,0.0
domain,marine,10,0.625,0.575,-0.050000000000000044
domain,monetary,10,0.225,0.225,0.0
domain,structural,10,0.475,0.375,-0.09999999999999998
