probe_turn,questions,k_candidate_count,k_only_candidate_count,arm_b_k_delivered,arm_c_k_only_delivered,arm_d_k_only_delivered,arm_c_serialized_chars,arm_d_serialized_chars
112,Q1,5,1,5,1,0,31272,31543
113,Q2,6,3,6,3,0,31127,31474
114,Q12 Q3,1,1,1,1,1,31912,31912
115,Q4,1,0,1,0,0,31742,31742
116,Q5,4,1,4,1,0,31947,30400
117,Q6 Q9,3,2,3,2,0,30821,31814
118,Q10 Q7,0,0,0,0,0,31855,31855
119,Q8,0,0,0,0,0,31791,31791
120,Q11,3,2,3,2,0,31863,31946
