turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,38.92064705562945,0.025693303571512973,56,182
2,41.554153431246256,0.02406498309861029,71,333
3,40.7089920347048,0.024564597402644862,77,472
4,47.01060855200993,0.021271794405589444,429,622
5,46.01791025380529,0.02173066952594416,443,1149
6,46.74832496033146,0.02139114077025338,753,1739
7,45.47264070365113,0.021991245384605673,650,2741
8,45.95990530008659,0.021758095310916926,981,3610
9,45.17078068625809,0.022138204937073875,1033,4893
10,43.69312240402553,0.02288689718150855,887,6175
11,43.08605729168652,0.02320936430154519,902,7205
12,38.83805223232956,0.02574794415584982,462,7293
13,41.15884067680106,0.024296116789403258,679,7857
14,40.2479237907817,0.024846002124190015,612,8164
15,43.20622639152283,0.023144812299465304,935,7387
16,42.099608281120645,0.023753190132375767,831,8051
17,42.730096432731145,0.023402708710809336,861,7507
18,40.177932815391486,0.024889284488447273,606,8001
19,42.337945218091434,0.02361947408757782,822,7716
20,43.53197447155362,0.022971620564866853,1133,8065
21,41.208749507447195,0.024266691223408302,752,8146
22,40.77812974122897,0.024522949099083965,666,8068
23,42.3609927756932,0.023606623321958627,879,8027
24,41.22900912561223,0.024254766757874406,731,8089
25,42.25405391416763,0.023666368250282933,863,8007
26,41.50928899707269,0.024090993224926638,738,8004
27,41.62017242477927,0.024026810600251938,783,8071
28,42.33234167695073,0.023622600602425062,830,7647
29,42.47157602796469,0.02354515875138627,897,8088
30,42.65969389480397,0.023441330884040913,871,7688
31,43.723410127601355,0.022871043157009573,1191,8072
32,42.038691612452325,0.023787609976514797,852,8096
33,41.40105453732142,0.024153974123981296,742,8079
34,42.56412664883354,0.023493962609647593,912,8107
35,41.54102706438618,0.024072587287022492,763,8079
36,41.08525002834607,0.02433963525377275,729,8083
37,42.10603608651797,0.02374956402795162,859,8114
38,41.515083440305396,0.024087630738786822,758,8109
39,41.416843156648056,0.024144766326534575,784,8134
40,43.19374217726993,0.023151501805422064,997,8042
41,43.45366645218103,0.023013017810601985,1151,8136
42,41.786175042455646,0.02393136004872374,821,8153
43,42.27389065874872,0.023655262962957176,864,8002
44,42.229228231154345,0.02368028121485432,889,8027
45,43.18618943474933,0.023155550723244874,1037,8063
46,42.90365268385365,0.023308038766972856,957,8000
47,42.276742120323576,0.023653667474042968,867,8115
48,42.54170078777912,0.023506347453961414,923,8078
49,43.0137389094002,0.023248385872855628,991,8115
50,43.606875820783145,0.022932163361343065,1190,8049
51,43.90812440051067,0.02277482843216982,1231,7868
52,41.93169685575006,0.02384830748538789,855,8064
53,42.628007238725615,0.02345875551723059,870,7905
54,41.90420879660491,0.023863951348033093,816,8163
55,41.45949407714729,0.024119927709180745,729,7745
56,40.02068509128904,0.024987078500004523,600,7983
57,41.028029279586235,0.02437358112390635,694,7730
58,43.3188740653095,0.023084625849054956,1060,8080
59,41.07041892684121,0.024348424635777428,755,8139
60,43.94177989460332,0.022757384939766954,1328,8134
61,43.777662822945295,0.022842699575909467,1179,7856
62,43.782751125749314,0.022840044864423436,1217,8038
63,43.67626997166959,0.022895728061225133,1176,7858
64,43.03419472851221,0.023237335014833035,1011,7942
65,42.456729831357165,0.023553391982192477,898,7760
66,39.4438721946394,0.025352480483290498,538,8068
67,42.020071548836,0.02379815081556426,797,8082
68,44.17625215996577,0.02263659661256277,1417,8166
69,42.88897154464809,0.023316017241378342,1015,8126
70,41.69607810110319,0.023983070963538466,768,8103
71,43.815956966483874,0.022822735579298876,1217,8162
72,44.189451206651064,0.02262983523654821,1226,7671
73,41.94151190628983,0.023842726562511764,832,7977
74,42.404512732059416,0.023582395730347875,890,8081
75,43.12761599455283,0.02318699925649272,1076,8102
76,43.115822692405295,0.023193341505603385,983,7907
77,43.3214023118367,0.023083278625234394,1062,8092
78,42.98541009150807,0.023263707333981067,1009,7877
79,42.34072526907274,0.023617923255803027,903,8125
80,43.54149462933306,0.02296659792028176,1154,8044
81,42.116172109224536,0.02374384826347915,835,7883
82,42.08204154839166,0.023763105667059043,847,8124
83,43.42370635260402,0.023028895596334382,1090,8112
84,41.62857221347178,0.024021962484612466,813,8106
85,41.08265349293206,0.0243411735849059,742,8124
86,44.00416476366087,0.022725121709975305,1193,7655
87,41.79631516818579,0.023925554106290513,828,8078
88,42.80244542117173,0.023363151104104012,951,8141
89,42.36136040418479,0.023606418454427448,867,8132
90,40.00539097198429,0.02499663109655142,611,8127
91,42.74695254664106,0.023393480480483453,999,7997
92,42.51217634707936,0.023522672465313605,937,8110
93,42.34137318273251,0.023617561851012804,886,8131
94,42.11467264153256,0.023744693648973594,866,8100
95,42.431881800759434,0.023567184804471772,895,8041
96,43.631627570345735,0.022919154193543095,1085,7566
97,43.34205947748788,0.02307227695350762,1011,7397
98,40.44738427652791,0.024723477621278755,639,7915
99,43.80868816057515,0.02282652236320402,1261,8097
100,41.15623713287114,0.02429765376196913,731,8068
101,41.07290254202379,0.024346952324025523,753,8168
102,41.98913719246377,0.02381568345680321,810,8068
103,43.40763001958522,0.02303742451612325,1085,8025
104,43.629312038686486,0.022920370578231705,1176,7731
105,42.20936047986512,0.023691427413997997,901,8148
106,42.70163517519604,0.023418306954691673,949,8012
107,41.313271274950075,0.024205296969701376,759,8114
108,41.76011107247476,0.023946296461340777,763,7676
109,43.15541455128205,0.023172063352831174,1026,8020
110,43.423024065930406,0.02302925743913348,1109,8086
111,41.48907480958787,0.024102730769231476,767,8167
112,33.90793584416452,0.029491621212091496,297,8069
113,30.914771841836522,0.03234699596413369,223,8056
114,38.30250228035464,0.02610795484536529,485,8074
115,27.308050251884865,0.03661923831163954,154,7652
116,37.697823583364425,0.026526730324062723,432,7590
117,38.180173741286026,0.02619160422831321,473,8166
118,33.64512226601002,0.029721990370361946,270,7793
119,35.19469624993418,0.0284133720859111,326,8108
120,41.301229468026186,0.02421235427807691,748,8079
121,25.906257503752325,0.03860071258286372,151,8114
