turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
60,96c396c3-ba07-45e9-b71a-5ff3db44706d,22,topic_2,0.2072770595550537,ltm,,,,3b29a88a-81ee-58f2-bee2-707ffaa414db,31,transition,"[""96c396c3-ba07-45e9-b71a-5ff3db44706d""]",[22],3
60,3f42455a-8719-41fe-80ec-9d9151d12422,28,topic_2,0.20538584887981415,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""3f42455a-8719-41fe-80ec-9d9151d12422""]",[28],3
60,62280c45-2825-490d-84f5-8249740d1a62,3,topic_2,0.20420575141906738,ltm,,,,eb45a521-6b35-5cb8-bb40-a640416663a0,31,transition,"[""62280c45-2825-490d-84f5-8249740d1a62""]",[3],2
61,f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9,4,topic_2,0.33630794286727905,ltm,,,,11751190-dba4-5315-85e2-1f1a513a5159,31,transition,"[""f8bcd284-1fa6-4ea2-9687-78e5ac2d17a9""]",[4],8
61,774c7738-c3d7-4a39-96ad-7e35bebe36f5,16,topic_2,0.33500343561172485,ltm,,,,0b75fc29-2e46-5ad8-9523-832797dfbd57,31,transition,"[""774c7738-c3d7-4a39-96ad-7e35bebe36f5""]",[16],8
61,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.3291081190109253,ltm,,,,001fc89e-358a-5f96-89c6-88dbc3540335,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],9
62,77507908-2b0b-4e0e-99c7-60f6e20df45f,20,topic_2,0.304361492395401,ltm,,,,86577cc7-21ec-5f4d-970e-ee94a1679081,31,transition,"[""77507908-2b0b-4e0e-99c7-60f6e20df45f""]",[20],3
62,9eb68599-4336-4534-a101-1c03a3aefcd7,18,topic_2,0.28470730781555176,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""9eb68599-4336-4534-a101-1c03a3aefcd7""]",[18],5
62,58b87a06-1d65-482e-82ca-e441f597d2f5,48,topic_3,0.2781950831413269,ltm,,,,d645733f-7bfc-538d-a1a6-91510c817876,61,transition,"[""58b87a06-1d65-482e-82ca-e441f597d2f5""]",[48],6
62,1d5ce599-cb2b-4fc9-99df-23b15269b399,6,topic_2,0.26691409945487976,ltm,,,,26f03771-6de9-5839-bb7a-62f015264b73,31,transition,"[""1d5ce599-cb2b-4fc9-99df-23b15269b399""]",[6],7
