turn,k_count,episode_id,similarity_score,topic_label,k_only
56,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.6047444343566895,topic_3,True
57,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.7625465989112854,topic_3,True
58,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.6272873282432556,topic_3,True
59,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.5770747065544128,topic_3,True
60,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.7154748439788818,topic_3,True
67,1,aa14d844-db0a-471d-85a6-13d562d579aa,0.4878532886505127,topic_4,True
69,1,42a021c5-3a41-43d9-94b1-2b9e0cd8cd1b,0.49091073870658875,topic_4,True
76,1,aa14d844-db0a-471d-85a6-13d562d579aa,0.5117912292480469,topic_4,True
80,1,aa14d844-db0a-471d-85a6-13d562d579aa,0.5717195272445679,topic_4,True
85,1,2ac7f41a-97e9-4988-89da-cccc0eadb928,0.5059121251106262,topic_4,True
86,1,2ac7f41a-97e9-4988-89da-cccc0eadb928,0.5271991491317749,topic_4,True
87,1,2ac7f41a-97e9-4988-89da-cccc0eadb928,0.5078352689743042,topic_4,True
89,1,2ac7f41a-97e9-4988-89da-cccc0eadb928,0.5111731290817261,topic_4,True
90,1,aa14d844-db0a-471d-85a6-13d562d579aa,0.5137365460395813,topic_4,True
93,1,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.5836202502250671,topic_5,True
97,1,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.5341817736625671,topic_5,True
99,1,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.6051247119903564,topic_5,True
104,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5017374753952026,topic_5,True
105,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5303881764411926,topic_5,True
106,3,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.5721407532691956,topic_5,True
106,3,c27f5468-2cf0-4b2e-85b8-73822ea8de86,0.5099428296089172,topic_5,True
106,3,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5530221462249756,topic_5,True
107,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5345926880836487,topic_5,True
108,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5283107161521912,topic_5,True
109,1,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.5179646015167236,topic_5,True
110,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5812762379646301,topic_5,True
111,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5384150147438049,topic_5,True
112,3,c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3,0.7539076209068298,topic_2,True
112,3,dead3408-d2dd-49e0-b659-84a1859717ca,0.6292248964309692,topic_2,True
112,3,22abdccc-14a1-4843-864c-20caf73df7ad,0.6748192310333252,topic_2,True
113,4,c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3,0.6793957948684692,topic_2,True
113,4,dead3408-d2dd-49e0-b659-84a1859717ca,0.6607005000114441,topic_2,True
113,4,22abdccc-14a1-4843-864c-20caf73df7ad,0.6734160780906677,topic_2,True
113,4,39974a50-28d5-433d-ba0d-e7d5379b474d,0.7135083675384521,topic_2,True
114,1,7604b228-edea-413c-84e5-2367e1bedb3b,0.5936984419822693,topic_2,True
115,1,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.6030682921409607,topic_3,True
116,2,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.5183523893356323,topic_3,True
116,2,98ba882b-ce91-4894-a871-787041b0a789,0.575218141078949,topic_3,True
117,4,f69dc714-d4fe-48db-a93c-d5d62f920a64,0.5202606320381165,topic_3,True
117,4,5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08,0.7038583159446716,topic_3,True
117,4,edfabf79-25cc-4af9-bb18-0321d7649a1d,0.5424917340278625,topic_3,True
117,4,98ba882b-ce91-4894-a871-787041b0a789,0.6666712164878845,topic_3,True
118,1,f37be0cf-3b23-4bee-a47a-99609efaf04c,0.4988771975040436,topic_5,True
119,1,64f2f3f9-31bc-4f16-af76-866fe1156e76,0.5154229402542114,topic_5,True
120,2,7604b228-edea-413c-84e5-2367e1bedb3b,0.5106655359268188,topic_2,True
120,2,11f14d47-0dbf-43fa-8409-ea5e1d84ed36,0.495423287153244,topic_6,True
121,1,588d773b-e823-4561-b311-b9bd3ef841ca,0.49849507212638855,topic_4,True
