turn,topic_id,topic,event_type,segmenter,extractor,episodes_evaluated,spans_evaluated,spans_eligible,survivors,records_written,marker_written,duplicates_collapsed,inference_calls
31,b97b6037-35b8-41c1-bb2d-a23ca926d9b5,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,798,320,319,50,False,1,0
61,e53f90c4-0aa9-4399-9c84-26fe177e8046,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,817,386,386,50,False,0,0
91,818be7bd-b5de-4980-bf97-f755a1b04ba8,topic_4,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,827,372,372,50,False,0,0
111,13fe0c56-f16b-4b2a-8f8c-f0d43b86d56e,topic_5,end_of_session_flush,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,21,551,159,159,50,False,0,0
