turn,k_count,episode_id,similarity_score,topic_label,k_only
15,3,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.5236513018608093,topic_2,True
16,3,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.5216398239135742,topic_2,True
17,3,1920be23-5de7-437f-b718-8d6484c08894,0.5096549987792969,topic_2,True
18,4,bf2a80df-6314-4163-95f4-025289e33705,0.845180332660675,topic_2,True
18,4,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.566106379032135,topic_2,True
19,2,cebcdc92-0d26-42be-9f2b-65d72e7de516,0.7762098908424377,topic_2,True
20,2,1fa495db-8989-4e3e-9c16-f14e262bd254,0.9091088175773621,topic_2,True
21,2,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.9184969067573547,topic_2,True
22,2,1920be23-5de7-437f-b718-8d6484c08894,0.8659939169883728,topic_2,True
23,5,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.5236513018608093,topic_2,True
23,5,4edeb949-e631-4bee-a874-018ce0cbb08e,0.8470087051391602,topic_2,True
23,5,2abb50eb-8207-4f27-8894-940c4fb5ba0c,0.5236513018608093,topic_2,True
24,5,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.5216398239135742,topic_2,True
24,5,ae28eb05-6ce6-437e-a288-28ff4b3874e5,0.8807029128074646,topic_2,True
24,5,2abb50eb-8207-4f27-8894-940c4fb5ba0c,0.5216398239135742,topic_2,True
25,5,1920be23-5de7-437f-b718-8d6484c08894,0.5096549987792969,topic_2,True
25,5,abf88363-77f9-4d77-84b5-6097ace2c2bc,0.8043638467788696,topic_2,True
25,5,750cdb5d-ce94-4e32-998f-3d059aac5bd4,0.5096549987792969,topic_2,True
26,6,bf2a80df-6314-4163-95f4-025289e33705,0.845180332660675,topic_2,True
26,6,54712973-88f8-4b55-ac3c-f310d4e84f9a,0.566106379032135,topic_2,True
26,6,cb46bacb-a054-4a44-bdad-3a104b7f64f4,0.845180332660675,topic_2,True
26,6,2abb50eb-8207-4f27-8894-940c4fb5ba0c,0.566106379032135,topic_2,True
27,3,cebcdc92-0d26-42be-9f2b-65d72e7de516,0.7762098908424377,topic_2,True
27,3,03b36924-c78f-4995-888d-5adc7b1ac66e,0.7762098908424377,topic_2,True
