turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,37.48063684151037,0.02668044313730777,51,121
2,41.05858124590351,0.024355444578343093,83,218
3,40.10874103607663,0.024932221111117137,90,382
4,37.56771580769255,0.02661860000003607,76,564
5,33.20266457253512,0.03011806470578235,51,723
6,39.04926113103488,0.025608679166665146,120,810
7,37.46834705266104,0.026689194444433843,108,1030
8,30.910404132956305,0.0323515666666361,57,1234
9,32.92629070943724,0.030370867123316228,73,1358
10,30.366753036352037,0.03293075156250325,64,1497
11,29.85355339382132,0.03349685000000591,64,1616
12,30.839158910969505,0.032426305882301464,68,1622
13,29.67654321509649,0.03369664696969487,66,1770
14,33.62475247670464,0.029739995876335558,97,1663
15,33.709988350738534,0.029664798148115987,108,1840
16,31.126313328325786,0.03212715844153548,77,1779
17,29.421567087466276,0.033988672222221794,72,1973
18,26.92005219022054,0.03714703050848014,59,2040
19,29.951168978952627,0.03338767848102099,79,1945
20,28.587986781419307,0.0349797279411766,68,1963
21,27.061537690672175,0.03695281515154585,66,2224
22,33.18054980504995,0.03013813833331369,120,2200
23,31.29596050865613,0.03195300555557036,108,2369
24,28.759868136357472,0.03477067402599897,77,2188
25,26.4060235660417,0.03787014722224234,72,2559
26,24.33607982617732,0.04109125245900703,61,2546
27,28.171917163128054,0.035496341772182236,79,2356
28,26.703854139773053,0.03744777794118443,68,2352
29,24.65536838148346,0.04055911818178367,66,2728
30,31.088606414353457,0.032166125000003376,120,2786
31,29.352566366894827,0.03406857129630225,108,2899
32,26.45369222771104,0.037801906493509056,77,2723
33,27.891079989283636,0.03585375684212379,95,3146
34,23.18994289997757,0.04312214153838935,65,3103
35,26.21608712686558,0.03814451772153386,79,2828
36,25.52766695259677,0.03917318421056399,76,2795
37,23.870950031219024,0.04189192297299333,74,3302
38,28.89232322301329,0.034611270000035194,120,3450
39,27.41500282986416,0.036476377777742326,108,3506
40,20.535045750793174,0.04869723750001261,48,2698
41,25.97150870817056,0.03850373157895918,95,3735
42,21.260771479946726,0.04703498181819062,66,3637
43,25.559577745217336,0.039124277011466604,87,3269
44,24.655510610457032,0.04055888421048861,76,3222
45,22.731807918417385,0.043991221621655384,74,3852
46,27.210851034326176,0.03675004500000796,120,4074
47,25.686324315516316,0.03893122222224418,108,4073
48,22.75744851287666,0.043941657142898875,77,3794
