turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.637483067400545,0.021911813114740174,122,182
2,36.3338520426248,0.027522542856916386,42,484
3,40.86011655105345,0.024473743209971782,81,591
4,47.833185974856804,0.02090598774929279,702,746
5,45.173830030339545,0.02213671055406155,379,1562
6,46.53313993056919,0.02149006066412179,783,2096
7,45.38096688476007,0.022035669767446538,688,3169
8,45.41613226484438,0.022018607709007352,921,4091
9,44.940554683014504,0.02225161676471151,1020,5309
10,43.41820063505256,0.02303181581395789,860,6575
11,43.01691476127912,0.023246669491512013,944,7581
12,40.88034891993032,0.024461630744850905,631,7813
13,43.51727459450702,0.022979380241937884,992,7171
14,40.78573134214056,0.02451837853810364,643,7884
15,42.41784180279389,0.023574985371701163,834,8075
16,41.32370105737558,0.02419918774002255,677,8066
17,42.5307860317566,0.02351237993234658,887,7871
18,41.74730692556692,0.023953640932646108,772,8247
19,42.125327081296255,0.023738688083540183,814,8195
20,43.27238716406679,0.02310942532956434,1062,8214
21,42.49052792896528,0.023534656986888416,916,7847
22,40.69527921195697,0.024572874774776893,666,8220
23,41.93068662330788,0.023848882060617943,825,8241
24,42.34189779643313,0.023617269230767443,897,8199
25,42.529378355718805,0.023513158166477945,949,8033
26,42.13069960214933,0.023735660918124995,806,8211
27,42.47228156257145,0.023544767627488288,902,8216
28,42.952059045871074,0.023281770937501278,960,8042
29,42.89891450892557,0.023310613134323935,1005,8227
30,40.06671864503298,0.02495837028381082,599,8005
31,41.820502152343295,0.0239117167067294,832,8253
32,43.746843757296595,0.022858791951892728,1081,8146
33,40.52465166143068,0.02467633795731672,656,8253
34,41.523784321537036,0.02408258342391333,736,8252
35,42.124164052578635,0.023739343497756245,892,8252
36,42.164036056146635,0.02371689462243074,874,8192
37,42.456828582124544,0.02355333719911964,914,8158
38,40.38107956176253,0.02476407294833483,658,8225
39,40.709708885630846,0.024564164848473437,660,7926
40,42.55195053913441,0.023500685334748982,941,8147
41,42.87802939116573,0.023321967315177796,1028,8234
42,42.600394038188206,0.02347396127612274,909,7967
43,43.15940876804384,0.02316991887850933,1070,8113
44,43.10727890962396,0.023197938382901365,1076,8220
45,42.452234676273356,0.02355588598870396,885,8080
46,41.95993024961036,0.02383226077953945,821,8052
47,43.889948859695906,0.022784259858600543,1273,8180
48,40.09434579114794,0.02494117263339363,581,7734
49,43.40332338417145,0.023039710373069847,1099,8193
50,41.99736235226423,0.023811019168590387,866,8235
51,43.22568342570748,0.023134394201510138,1052,8147
52,42.57145929581588,0.02348991593290965,954,8173
53,42.7504776213184,0.023391551525060145,918,7805
54,41.55863525325793,0.024062387850467402,749,8220
55,39.817072849419986,0.025114854720280296,572,8189
56,39.762610133735016,0.02514925445378621,595,8191
57,40.682664816410835,0.024580494038743832,671,7959
58,41.089413275396645,0.02433716912182769,706,8120
59,41.322927841214465,0.024199640544410428,698,7539
60,42.69396426632149,0.02342251456815022,961,8190
61,41.43013659084135,0.02413701914323552,747,7994
62,42.058283759121394,0.023776528917044196,868,8259
63,43.56805889742172,0.02295259475191304,1048,8148
64,43.02020410077799,0.02324489204322291,1018,8049
65,42.79308112282716,0.023368263601532747,1044,8220
66,40.53201053694181,0.024671857792215292,616,8035
67,41.3005916362729,0.024212728205126585,741,8034
68,41.92801990587387,0.023850398903762827,821,8116
69,43.18221041524053,0.02315768438864039,916,8018
70,42.84412415159311,0.023340423449006747,951,7805
71,44.08166238971599,0.022685169882188803,1358,8217
72,42.980796261248166,0.02326620460732618,955,8131
73,42.70983477887568,0.02341381101512949,926,8057
74,42.513144359062146,0.0235221368608751,841,8243
75,42.07472714466326,0.023767236720555647,866,8035
76,42.06940790994942,0.023770241837976994,827,8006
77,42.29341111977475,0.02364434491150417,904,8077
78,42.886228580119756,0.023317508512827306,975,8103
79,41.79008193041054,0.02392912274412897,809,8197
80,42.68984066541579,0.023424777052637902,950,8184
81,43.30109672038227,0.02309410328467015,1096,8112
82,42.36751505209197,0.02360298919515279,907,8160
83,43.48949329254616,0.02299405958292446,1007,7891
84,42.95236403588994,0.02328160562162363,925,7648
85,42.79759442735779,0.023365799255314297,940,7976
86,43.64978905926374,0.022909618157427758,1118,8178
87,39.82955464769659,0.02510698421926321,602,8102
88,42.14455380701965,0.02372785827983873,779,7527
89,41.36800815502812,0.024173269262867662,719,8173
90,39.38493993401592,0.02539041576997104,539,8101
91,42.21935087406642,0.023685821295141185,803,7697
