turn,topic_id,topic,event_type,segmenter,extractor,episodes_evaluated,spans_evaluated,spans_eligible,survivors,records_written,marker_written,duplicates_collapsed,inference_calls
31,8cba4e26-4768-4b6b-865b-1048a14ab62e,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,798,320,319,50,False,1,0
61,eeff0d7a-6b9b-44bd-a249-3abd34355178,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,817,386,386,50,False,0,0
91,1ad35cb7-fde3-4ab9-b949-092b165d4933,topic_4,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,30,827,372,372,50,False,0,0
111,0de04799-7946-44bf-b8aa-7e7c8ed5093b,topic_5,end_of_session_flush,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,21,551,159,159,50,False,0,0
