episode_count_at_trigger,turn_number,topics_before,topics_after,pairs_merged,surviving_labels,merged_labels,similarities,episodes_reassigned
10,10,2,2,0,,,,
20,20,2,1,1,topic_2,topic_1,0.46,2
30,30,1,1,0,,,,
40,40,2,2,0,,,,
50,50,2,2,0,,,,
60,60,2,2,0,,,,
70,70,3,3,0,,,,
80,80,3,3,0,,,,
90,90,3,3,0,,,,
100,100,4,4,0,,,,
110,110,4,4,0,,,,
120,120,5,1,4,topic_3;topic_2;topic_2;topic_2,topic_5;topic_3;topic_2;topic_4,0.54;0.45;0.45;0.46,2;32;32;23
