arm,configuration_id,candidate_count,candidate_fact_count,candidate_facts,packed_fact_count,packed_facts,facts_lost_at_packing,selected_episode_count,delivered_chars,candidate_sha256,payload_sha256
A0,A0_D2_m5,15,9,"[""civil:847"",""civil:92.4"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""civil:S460ML"",""marine:600"",""marine:Vampyroteuthis infernalis"",""marine:marine snow"",""monetary:Federal Reserve""]",7,"[""civil:847"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""marine:600"",""marine:Vampyroteuthis infernalis"",""marine:marine snow"",""monetary:Federal Reserve""]","[""civil:92.4"",""civil:S460ML""]",11,31957,335d5add0754a7277cd1ddb7c4f532c33951389e7a33ae8f56c2097023fa91b4,9ace52257c15c247bd7cc10894efd607113f7be29fe2e9d7a735997c5661143c
A1,A1_D2_m5,15,9,"[""civil:847"",""civil:92.4"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""civil:S460ML"",""marine:600"",""marine:Vampyroteuthis infernalis"",""marine:marine snow"",""monetary:Federal Reserve""]",9,"[""civil:847"",""civil:92.4"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""civil:S460ML"",""marine:600"",""marine:Vampyroteuthis infernalis"",""marine:marine snow"",""monetary:Federal Reserve""]",[],12,28562,5c5d42e6605bec56590f2443aea3dd66cd041f372a00ce65f36b9330d8d09c0b,42faccd7572afe4982959393f5e208746ea13d0eb74cb254324451595f732349
A2,A2_D2_m5,15,5,"[""civil:847"",""civil:92.4"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""civil:S460ML""]",5,"[""civil:847"",""civil:92.4"",""civil:Dr. Anara Bekova"",""civil:Halcyon Crossing"",""civil:S460ML""]",[],15,29987,d6ffaa86024e5438b1bbb1dd293c19ff825f7c252eccdb86db522c044acc1388,a4efd9028da3ca15fb69659090fcc5155350cf7dbf301983bc439e341a0ed954
