method,query_class,query_count,macro_fact_recall,mean_delivered_chars
M2,lookup,12,0.75,31409.0
M2,chained,8,0.5625,31573.125
M2,enumeration,4,0.0625,31036.5
M5_span,lookup,12,1.0,31934.333333333332
M5_span,chained,8,0.8125,31906.75
M5_span,enumeration,4,0.625,31901.5
