method,domain,query_count,macro_fact_recall
M2,art,10,0.375
M2,marine,10,0.625
M2,monetary,10,0.225
M2,structural,10,0.475
M5_span,art,10,0.75
M5_span,marine,10,0.85
M5_span,monetary,10,0.75
M5_span,structural,10,0.85
