arm_id,q4,q5,q6,all_targeted_art_correct,comparison_status
s007_treatment,1.0,1.0,1.0,True,CROSS_RUN_CONFOUNDED
s009_l,1.0,1.0,1.0,True,CROSS_RUN_CONFOUNDED
