turn,topic,survivor_span,collapsed_span
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,fd680909-3b1e-40f7-b51b-fdda45f5ff86:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,83a9115f-e99f-4072-906d-5d696a18fe6c:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,c9177183-413b-4ef8-a575-a3ec163c4386:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,4479ff71-3228-4f83-8bd6-067897312039:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,4b20c2c1-a8b0-4652-afab-c7dff3741d8f:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,c1ed7098-0d2f-48ab-a077-a352214f2edc:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,5b52c0b8-cbfc-4ebc-a1fd-6a41046e5799:93:157
83,topic_2,a15e01e7-c259-44f2-89c1-5312218d8cf3:93:157,e2e42180-bc2c-4de7-a917-ba54e12b4c90:93:157
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,2df0b5c0-6614-4581-b95b-25a0facd11c3:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,0e3547d9-8a0c-4125-a56f-bef69f65d994:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,f184814c-0a82-401f-95c3-2db50d68e267:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,51d28a25-239c-4048-891c-9b68f03c1a6a:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,f22180e9-0fa4-4fb2-8fca-1282f28e8654:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,012e10e2-0da9-4b96-9678-d473f14e34ab:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,b1c92968-f766-420f-9f2a-b35789a2dccc:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,dc2b3638-3376-4382-8782-20ca023e8554:172:248
83,topic_2,6fc1d2f8-28f4-4f50-ac27-9100a08bc826:172:248,e3a4e850-c28e-47f7-be91-fb23ce2255aa:172:248
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,b47a553a-a075-4dd3-83a6-aedcda190c1a:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,d91e4675-6664-45c3-9cc3-e2c2ecf98292:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,503a96f0-68e6-4bb7-bf56-a9eaeed94082:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,f0e0740c-a36b-40cf-8436-7063ce4e91fc:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,79203071-25ac-4bcd-a105-7c04f6d479a4:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,dee5cf3a-af6e-4555-a949-1db2626b52b0:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,d7d5ed77-75a7-49b4-96b4-8c6aa6cb6d24:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,28b0eda8-f64b-46e5-bafd-263868e9ea46:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:93:148,49d904c8-2f32-4d82-9388-188e73e1b781:93:148
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,b47a553a-a075-4dd3-83a6-aedcda190c1a:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,d91e4675-6664-45c3-9cc3-e2c2ecf98292:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,503a96f0-68e6-4bb7-bf56-a9eaeed94082:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,f0e0740c-a36b-40cf-8436-7063ce4e91fc:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,79203071-25ac-4bcd-a105-7c04f6d479a4:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,dee5cf3a-af6e-4555-a949-1db2626b52b0:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,d7d5ed77-75a7-49b4-96b4-8c6aa6cb6d24:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,28b0eda8-f64b-46e5-bafd-263868e9ea46:163:246
83,topic_2,3acc9e7b-53d2-4e07-ac54-b0a82ea803c9:163:246,49d904c8-2f32-4d82-9388-188e73e1b781:163:246
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,0a2d3eb3-88ab-4c99-9cfb-4ff4ad0f376a:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,660c1923-447f-458f-bc50-1ae3a4eaac5a:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,fb5dd66b-f617-4923-9856-c0d20d4991f7:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,2f3fee96-f57b-4f43-aff7-b114a086418f:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,b6719b47-dc74-470d-b71e-2ced653cd768:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,43904d56-aef9-4dc8-8554-64efce3cf726:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,99716548-21a0-4822-9d41-f48fa240893c:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,b859522f-4ef3-42be-b773-3d66e1791a97:172:293
83,topic_2,dca67bc1-6299-4050-9ba9-24abbe5695db:172:293,471bec20-5f6a-42b0-8f38-eb4be3d7b396:172:293
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,461ca34a-8299-40ed-93aa-6fec635580a6:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,b0680986-d9bd-42cb-b6de-f75146f1fe33:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,af2be6aa-378f-4aca-b542-bba94f7f84d4:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,d7a540ee-540f-48c5-b8a0-fd7efab16139:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,2f180e2f-9208-44ea-8ba2-2a4b2b57e0f1:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,b153ca39-3aa7-4a3c-88f6-3ba8434bae42:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,64a40544-da83-4141-8f49-0f700719d520:93:164
83,topic_2,17840877-4c06-40eb-b01c-703f330e8455:93:164,b2a083e9-f284-46b0-8812-deea53b56145:93:164
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,66b3fd02-1571-40e4-b16f-809be793be3f:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,fd74da97-b662-4f95-9b5d-dce2b76016ef:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,2fbf176a-8f67-403d-8066-da5b52ba7f59:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,addb7039-7702-488a-ad69-25bac166bb7a:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,7c2d5881-2725-486b-b792-4c55c60ebc20:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,d66c5563-b7f3-4079-b1c1-9a381b09a371:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,f59fe755-9070-411b-80b5-9e8aae162358:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,b266a584-83e9-485f-aaac-d2d09e8e6f28:93:146
83,topic_2,6fbd3cab-2d9c-405c-b916-1bed40651069:93:146,edd8744a-9ef4-432c-b27e-5f1843a3d637:93:146
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,fd74da97-b662-4f95-9b5d-dce2b76016ef:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,2fbf176a-8f67-403d-8066-da5b52ba7f59:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,addb7039-7702-488a-ad69-25bac166bb7a:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,7c2d5881-2725-486b-b792-4c55c60ebc20:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,d66c5563-b7f3-4079-b1c1-9a381b09a371:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,f59fe755-9070-411b-80b5-9e8aae162358:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,b266a584-83e9-485f-aaac-d2d09e8e6f28:288:412
83,topic_2,66b3fd02-1571-40e4-b16f-809be793be3f:288:412,edd8744a-9ef4-432c-b27e-5f1843a3d637:288:412
83,topic_2,f51b45c6-7a47-4fda-bfcd-aae8caf45612:258:407,758f53d8-16c4-4bed-9c10-2af6a2ee31f8:258:407
83,topic_2,f51b45c6-7a47-4fda-bfcd-aae8caf45612:258:407,dafc9a67-2a42-4fdc-9801-a6c5edc71b08:258:407
83,topic_2,f51b45c6-7a47-4fda-bfcd-aae8caf45612:258:407,7913ac25-6620-4b87-a0a2-31c5e1830050:258:407
