turn,episode_id,episode_turn,topic,novelty,repetition,association,global_association,emotional,weighted_score,promoted,trigger_type,triggered_filter
61,2eaf56c2-b9e4-4fc6-93a5-88d788412783,39,topic_3,0.756846621632576,0.8,0.243153378367424,0.243153378367424,0.1,0.5685269932448864,False,,
61,55d879fb-f474-4b30-8ebb-c24c72e2c374,40,topic_3,0.6844195425510406,0.2,0.31558045744895935,0.31558045744895935,0.1,0.3776629313826561,False,,
61,aa2a7d09-ee87-4057-bf7c-1b781e24c2f8,41,topic_3,0.7075860798358917,0.2,0.2924139201641083,0.2924139201641083,0.1,0.38113791197538377,False,,
61,aafee042-fcbd-4c18-b85d-67040c8c421b,42,topic_3,0.6712238788604736,0.2,0.32877612113952637,0.32877612113952637,0.1,0.375683581829071,False,,
61,e9ce016e-a5df-4ae1-9fef-934aef2ac00b,43,topic_3,0.7346495389938354,0.2,0.26535046100616455,0.26535046100616455,0.1,0.3851974308490753,False,,
61,5d3a4edd-06c3-488c-a9b7-6a701f2af2bc,44,topic_3,0.7074359059333801,0.2,0.2925640940666199,0.2925640940666199,0.0,0.366115385890007,False,,
61,629bd9cf-3539-4298-a0b6-776fb4b86336,45,topic_3,0.7153553366661072,0.2,0.2846446633338928,0.2846446633338928,0.0,0.36730330049991605,False,,
61,7d5809d6-c6e6-44ea-a1c6-04e8136c2af1,46,topic_3,0.6465954780578613,0.2,0.35340452194213867,0.35340452194213867,0.1,0.3719893217086792,False,,
61,ef434289-a5aa-4812-8611-560cb17aa1e8,47,topic_3,0.671820729970932,0.2,0.328179270029068,0.328179270029068,0.0,0.3607731094956398,False,,
61,6526e0fb-27df-45fd-a8fb-784779f71066,48,topic_3,0.7031387090682983,0.2,0.29686129093170166,0.29686129093170166,0.05,0.3729708063602447,False,,
61,0c39b0b6-0582-456a-a367-23b3f6067148,49,topic_3,0.7189053297042847,0.2,0.28109467029571533,0.28109467029571533,0.1,0.3828357994556427,False,,
61,b0a92f1b-fe60-414e-ab57-09c76a7ba0db,50,topic_3,0.755963146686554,0.2,0.24403685331344604,0.24403685331344604,0.1,0.38839447200298305,False,,
61,5321b034-39a8-4b3c-8ed9-8dbec502a4cf,51,topic_3,0.6667354702949524,0.2,0.3332645297050476,0.3332645297050476,0.1,0.3750103205442428,False,,
61,33622744-af55-46e0-9a15-665af3645e28,52,topic_3,0.6385754644870758,0.2,0.3614245355129242,0.3614245355129242,0.1,0.37078631967306136,False,,
61,00e0c5b9-e065-463c-947b-249b94c6cc24,53,topic_3,0.7590970695018768,0.2,0.24090293049812317,0.24090293049812317,0.0,0.3738645604252815,False,,
61,380321a5-366c-4c30-9dd8-b0ed774b70bd,54,topic_3,0.7786023020744324,0.2,0.22139769792556763,0.22139769792556763,0.05,0.38429034531116485,False,,
