corpus_id,quartile,first_turn,last_turn,turn_count,evaluable_turn_count,k_count,overlap_count,k_only_count,overlap_fraction_exact,overlap_fraction
study_009_arm_s,1,1,31,31,27,81,64,17,64/81,0.7901234567901234
study_009_arm_s,2,32,61,30,6,7,1,6,1/7,0.14285714285714285
study_009_arm_s,3,62,91,30,5,5,0,5,0/1,0.0
study_009_arm_s,4,92,121,30,21,34,12,22,6/17,0.35294117647058826
study_010_arm_s,1,1,250,250,235,3643,202,3441,202/3643,0.05544880592917925
study_010_arm_s,2,251,500,250,240,5644,82,5562,41/2822,0.014528703047484054
study_010_arm_s,3,501,750,250,246,6857,129,6728,129/6857,0.01881289193524865
study_010_arm_s,4,751,1000,250,247,9510,112,9398,56/4755,0.01177707676130389
