arm,turn,retrieval_payload_chars,episode_count,civil_episode_count,art_episode_count,monetary_episode_count,marine_episode_count,probe_episode_count,civil_serialized_chars,art_serialized_chars,monetary_serialized_chars,marine_serialized_chars,probe_serialized_chars
T6,120,59709,25,19,1,0,0,5,53256,2751,0,0,3575
T6,121,60018,25,19,1,0,0,5,53256,2751,0,0,3884
S,120,19924,10,9,0,0,0,1,17743,0,0,0,2099
S,121,20462,10,9,0,0,0,1,17743,0,0,0,2637
L,120,59309,17,13,1,1,1,1,40851,4888,6242,4199,2992
L,121,60620,18,11,3,1,2,1,31240,11316,6242,8024,3658
