k,target_cluster,cluster_size,cluster_member_turns,target_is_only_member,first_occupant_turn,first_occupant_step,first_occupant_q11_facts,occupied_before_target_best_step
2,1,78,6 13 14 15 18 19 22 23 25 31 33 34 35 36 37 38 40 41 42 44 46 48 49 50 51 52 53 55 57 58 61 62 63 64 65 66 67 68 69 70 71 72 73 74 76 77 78 79 80 81 82 83 85 86 87 88 89 90 91 92 93 94 95 96 97 99 100 101 102 103 104 105 106 107 109 111 117 119,False,78,4,0,True
4,2,58,6 13 14 15 18 21 22 23 25 30 33 34 35 36 41 46 47 48 49 50 53 55 57 58 63 64 65 66 67 70 71 72 74 76 80 81 83 87 89 90 91 93 94 96 97 98 99 100 101 102 103 104 105 108 109 111 117 118,False,98,8,0,True
8,2,57,6 13 14 15 18 21 22 23 25 30 33 34 35 41 43 46 47 48 49 50 53 55 57 58 63 64 65 66 67 70 71 72 74 76 80 83 87 89 90 91 93 94 96 97 98 99 100 101 102 103 104 105 108 109 111 117 118,False,43,2,0,True
16,12,20,63 64 65 66 67 69 70 71 72 74 75 76 79 80 83 85 87 89 90 93,False,,,,False
