role,turn,chars,q11_facts,chars_per_q11_fact,cosine_rank
target,90,2862,4,715.5,112
selected,114,768,0,,1
selected,43,4217,0,,4
selected,1,897,0,,2
selected,2,364,0,,3
selected,78,4170,0,,9
selected,110,4472,3,1490.7,10
selected,27,3000,2,1500.0,11
selected,3,593,3,197.7,5
selected,54,4425,0,,6
selected,84,5473,1,5473.0,7
selected,118,773,4,193.2,20
selected,113,358,3,119.3,14
selected,115,597,1,597.0,50
selected,112,417,3,139.0,22
selected,116,994,2,497.0,86
