turn,k_count,episode_id,similarity_score,topic_label,k_only
17,3,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,0.6393752098083496,topic_2,True
20,3,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,0.5938755869865417,topic_2,True
22,3,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,0.5817050933837891,topic_2,True
25,3,613e22c7-d187-4ff9-9fcc-af16e18af2bc,0.5449017286300659,topic_2,True
29,3,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,0.5250609517097473,topic_2,True
45,1,cb9a742f-9109-4d05-a4b2-3d1c61fbd8ce,0.5025145411491394,topic_3,True
57,1,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.7075017690658569,topic_3,True
58,1,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.6323948502540588,topic_3,True
59,1,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.660049557685852,topic_3,True
60,2,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.7053430676460266,topic_3,True
65,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5161855816841125,topic_4,True
67,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5192090272903442,topic_4,True
69,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5563190579414368,topic_4,True
70,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5253897309303284,topic_4,True
72,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5865449905395508,topic_4,True
74,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5021838545799255,topic_4,True
76,1,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5170140266418457,topic_4,True
79,1,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5559780597686768,topic_4,True
80,2,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5534599423408508,topic_4,True
80,2,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5436854362487793,topic_4,True
82,2,e06d5871-5b05-452f-a401-6d0e270fd0b8,0.5446715354919434,topic_4,True
82,2,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.518905520439148,topic_4,True
84,1,e06d5871-5b05-452f-a401-6d0e270fd0b8,0.5234625339508057,topic_4,True
85,1,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5567803978919983,topic_4,True
86,4,34aa5ce4-f657-437f-a86a-37862b08897e,0.5492589473724365,topic_4,True
86,4,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5313401818275452,topic_4,True
86,4,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5312151312828064,topic_4,True
86,4,e06d5871-5b05-452f-a401-6d0e270fd0b8,0.5188047289848328,topic_4,True
87,1,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5095661282539368,topic_4,True
89,3,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5178226232528687,topic_4,True
89,3,e06d5871-5b05-452f-a401-6d0e270fd0b8,0.5159310698509216,topic_4,True
89,3,0cc195e4-b423-44b7-9db7-a563b0f2217a,0.5062071681022644,topic_4,True
90,2,10b9fc1f-c78c-4ea7-8c70-086048a1da48,0.5033321976661682,topic_4,True
90,2,e06d5871-5b05-452f-a401-6d0e270fd0b8,0.5018235445022583,topic_4,True
99,1,90f07d8a-b1fb-45ad-9a85-072339c01859,0.5569602847099304,topic_5,True
101,1,c69198f0-5d7e-4dfc-9f15-b21ea26fc902,0.5396037697792053,topic_5,True
110,1,6d714453-f87a-4b61-9002-0a2045e54ca8,0.5073482394218445,topic_5,True
113,4,f4e1d2d4-dd47-42a0-805c-bf672c8b743a,0.5644226670265198,topic_2,True
115,2,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.6513713002204895,topic_3,True
115,2,cc7d5f2f-256a-4190-8c6e-e36752866d03,0.5644201636314392,topic_3,True
116,2,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.5081106424331665,topic_3,True
117,3,e8ac0bcf-bfce-407e-9029-5af34f7be9ee,0.6878663897514343,topic_3,True
117,3,6b5f5a21-0b7d-4b89-a2f0-6503ce25e1e2,0.6722239851951599,topic_3,True
117,3,cc7d5f2f-256a-4190-8c6e-e36752866d03,0.509464681148529,topic_3,True
