episode_count_at_trigger,turn_number,topics_before,topics_after,pairs_merged,surviving_labels,merged_labels,similarities,episodes_reassigned
10,10,2,2,0,,,,
20,20,2,1,1,topic_2,topic_1,0.46,2
30,30,1,1,0,,,,
