turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.31907114924952,0.022065765573762428,122,182
2,36.48278186415784,0.02741019047624875,42,484
3,40.65072883728457,0.024599804938375592,81,591
4,47.863866654116144,0.02089258703703168,702,746
5,45.292397260036914,0.022078760686008895,379,1562
6,46.61219584112552,0.021453612771396385,783,2096
7,45.43854739936374,0.02200774578489282,688,3169
8,45.4895509908568,0.02198307035831142,921,4091
9,45.0234467544281,0.022210649607843472,1020,5309
10,43.40218679797334,0.023040313720936633,860,6575
11,42.9482888362019,0.02328381472458297,944,7581
12,40.99068655871285,0.024395785578454603,631,7813
13,43.560902675884456,0.022956365423382405,992,7171
14,40.83660109234335,0.02448783623638782,643,7884
15,42.208776573160584,0.023691755155866634,834,8075
16,41.032506102842035,0.024370921861161608,677,8066
17,42.55860428965407,0.023497011161221243,887,7871
18,41.61819476745832,0.024027952331606414,772,8247
19,41.873182088532424,0.023881633783783163,814,8195
20,43.32946568212799,0.023078982956682703,1062,8214
21,42.530584841647375,0.023512491157205214,916,7847
22,40.87407553471655,0.02446538513514871,666,8220
23,42.12960140847015,0.02373627963636395,825,8241
24,42.325755833968906,0.023626276254172435,897,8199
25,42.70651672194369,0.023415630136985034,949,8033
26,41.99809183807476,0.023810605583118826,806,8211
27,42.44787242440075,0.023558306762747422,902,8216
28,42.80848489854891,0.023359855000004853,960,8042
29,43.05167972039669,0.023227897412937126,1005,8227
30,40.265370707012565,0.024835236393982617,599,8005
31,42.00154209267301,0.02380864963942468,832,8253
32,43.42389393780337,0.023028796114699285,1081,8146
33,40.58444747179663,0.024639980640242313,656,8253
34,41.3572059413051,0.024179583152189203,736,8252
35,42.34930208563101,0.02361314002242547,892,8252
36,42.305597562521164,0.023637533981694832,874,8192
37,42.59449837621921,0.023477210393873467,914,8158
38,40.52387292147988,0.02467681215804882,658,8225
39,40.86288621363031,0.024472084393941756,660,7926
40,42.75421955408578,0.023389504250801735,941,8147
41,43.02032205942313,0.02324482830739202,1028,8234
42,42.777091610936715,0.023376998349844157,909,7967
43,43.27219869455289,0.023109525981305872,1070,8113
44,43.14652999064564,0.023176834851303323,1076,8220
45,42.58895289914724,0.023480267344633942,885,8080
46,42.01094168578902,0.023803322655304073,821,8052
47,44.04404414101944,0.022704545404554986,1273,8180
48,40.2769210940785,0.024828114285702432,581,7734
49,43.399107847022194,0.023041948316654497,1099,8193
50,42.15055192011117,0.02372448175519317,866,8235
51,43.146129291629244,0.023177050095059385,1052,8147
52,42.72723995508051,0.023404273270431417,954,8173
53,42.946048796975454,0.023285029193894705,918,7805
54,41.52348479320219,0.024082757142861715,749,8220
55,39.88071149309341,0.02507477832167516,572,8189
56,39.87193883778632,0.02508029529410062,595,8191
57,40.804717433994774,0.02450697034276951,671,7959
58,41.21650599165459,0.024262124504257528,706,8120
59,41.438045017163724,0.024132412607443185,698,7539
60,42.72081386235508,0.02340779375650389,961,8190
61,41.56871817173709,0.02405655127176638,747,7994
62,42.25734038724625,0.023664527649776355,868,8259
63,43.377728341151894,0.023053304961830213,1048,8148
64,43.1580610142906,0.02317064243615758,1018,8049
65,42.93318694268512,0.02329200488505497,1044,8220
66,40.31183745393457,0.024806609253242972,616,8035
67,41.56701638289724,0.024057536167340847,741,8034
68,42.0528235915097,0.023779616077953352,821,8116
69,42.771847708062104,0.023379864410475515,916,8018
70,43.006083447901005,0.023252524290230545,951,7805
71,44.18364525451153,0.022632808910167758,1358,8217
72,42.81685805422075,0.023355286806277537,955,8131
73,42.924001724595215,0.023296989092864696,926,8057
74,42.20150127951323,0.023695839476816225,841,8243
75,42.29398656528187,0.023644023210166627,866,8035
76,42.187014197340346,0.023703976662634837,827,8006
77,42.44591027032809,0.0235593957964674,904,8077
78,42.9654880312217,0.023274494153850425,975,8103
79,41.97872146868361,0.023821592583423635,809,8197
80,42.90083080530112,0.02330957189473434,950,8184
81,43.477934198637385,0.02300017281021922,1096,8112
82,42.481545772978876,0.023539633076065405,907,8160
83,43.429060081600156,0.02302605670307094,1007,7891
84,42.95759064109469,0.023278772972974097,925,7648
85,42.928659851505365,0.023294461170208957,940,7976
86,43.64939777670525,0.022909823524155895,1118,8178
87,39.96401937104902,0.025022508139519773,602,8102
88,42.26972147573762,0.02365759614891216,779,7527
89,41.33258056301018,0.024193989012506304,719,8173
90,39.51967913947118,0.025303849165142316,539,8101
91,42.38731390662743,0.023591964383561606,803,7697
92,42.35252827970407,0.02361134129693065,879,8216
93,41.64494202683676,0.024012519920320257,753,8184
94,42.09313778576589,0.023756841437897212,765,7553
95,41.48462700001646,0.024105314964013132,695,7713
96,42.771932420410856,0.023379818105267507,950,8105
97,43.27509116969179,0.02310798135765365,987,8028
98,43.65512456470304,0.02290681815643108,1074,7774
99,42.025735807894435,0.023794943283590345,737,7541
100,41.650384049781344,0.024009382453827572,758,8123
101,42.393251476199524,0.023588660109296437,915,8250
102,42.034157779012496,0.02379017572464117,828,8220
103,42.845743240814656,0.02333954144241346,929,7750
104,43.48991339765533,0.022993837464250114,1049,7935
105,42.56908222537363,0.02349122761692857,898,8173
106,43.617064717028484,0.022926806434308066,1119,8118
107,43.16511159308769,0.023166857749074753,1084,8192
108,42.400154933917385,0.023584819479045456,883,8243
109,42.62430442901552,0.023460793399346896,909,8219
110,40.41069017051864,0.024745927272718137,583,7621
111,41.132526014126924,0.024311660306409362,718,8212
112,19.251659132100734,0.051943574999859264,80,8183
113,18.541476862364178,0.053933136363577265,77,8196
114,21.834979601648485,0.04579807346943904,98,8216
115,25.338112896375005,0.03946623823525014,136,8107
116,37.09906210424098,0.02695485932205507,413,8120
117,38.4568930598686,0.026003140670860448,477,8239
118,34.30950621199979,0.029146441042344373,307,8031
119,40.34579241075994,0.02478573204905766,571,7654
120,40.406720261065026,0.02474835852895432,639,8242
121,33.761902985144985,0.029619183505147605,291,8212
