arm,probe_turn,recency_candidates,k_candidates,coverage_candidates,recency_episodes,k_episodes,coverage_episodes,recency_chars,k_chars,coverage_chars,element_chars_total,overhead_chars,serialized_chars,dropped_recency,dropped_k,dropped_coverage
B0,112,32,5,0,9,0,0,31482,0,0,31482,61,31543,23,1,0
B0,113,32,6,0,10,0,0,31412,0,0,31412,62,31474,22,3,0
B0,115,32,1,0,9,0,0,31681,0,0,31681,61,31742,23,0,0
B0,116,32,4,0,8,0,0,30340,0,0,30340,60,30400,24,1,0
B0,117,32,3,0,8,0,0,31754,0,0,31754,60,31814,24,2,0
B0,118,32,0,0,10,0,0,31793,0,0,31793,62,31855,22,0,0
B0,119,32,0,0,9,0,0,31730,0,0,31730,61,31791,23,0,0
B0,120,32,3,0,8,0,0,31886,0,0,31886,60,31946,24,2,0
