turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.27173817517482,0.022088836000300944,125,187
2,36.27551356281517,0.02756680476124443,42,504
3,40.76229964765976,0.02453247261915489,84,626
4,47.58683352700226,0.021014216031679616,630,796
5,46.070014217520686,0.021706092715284953,453,1503
6,46.38348414872539,0.02155939809940905,684,2102
7,45.54470699116707,0.02195644820360662,668,2986
8,44.877160910408264,0.022283049544876005,769,3886
9,44.64126692097356,0.02240079793815564,873,4833
10,42.224629731329024,0.023682860130755372,612,5982
11,42.14949213140055,0.02372507827336357,695,6770
12,41.3272853738138,0.024197088943897337,606,6952
13,42.57799764136899,0.023486308783774165,740,6824
14,42.762271010256455,0.023385100378793065,792,6957
15,42.90251615576975,0.023308656218885074,804,7038
16,43.61105303207184,0.02292996684268536,947,7060
17,41.9424981209006,0.02384216593674196,822,8322
18,43.042228999298544,0.023232997529386706,850,6955
19,43.2891071367189,0.023100499551578304,892,7131
20,43.01372447678277,0.023248393673506774,980,8230
21,43.74830038411753,0.022858030854223586,995,7147
22,42.25114695778226,0.023667996539814867,867,8274
23,42.0453308454169,0.023783853757188445,692,7124
24,41.77814759172401,0.02393595833334874,660,6922
25,42.357910585422474,0.02360834106732713,862,8086
26,41.2170207297418,0.024261821507113684,637,7139
27,40.6285125808975,0.02461325646635104,549,6866
28,43.61280175185732,0.02292904743175353,915,6763
29,40.63287009763324,0.02461061691180529,680,8228
30,41.546546558175656,0.02406938922347607,631,6900
31,43.377604230613095,0.023053370921169155,901,6868
32,38.71760890477122,0.025828041252742982,926,14835
33,35.79376265965999,0.027937828428610895,700,15573
34,36.5594493102772,0.02735270959671952,719,14629
35,36.518513028450485,0.027383371256680954,748,15284
36,37.629257153869894,0.02657506620210166,861,15340
37,37.990054746378476,0.026322678571431335,910,15527
38,36.426390018963026,0.02745262430560413,720,14854
39,37.166746087525205,0.026905772101896323,785,14827
40,38.539157976635394,0.025947634886217708,923,14667
41,40.34101038069211,0.024788670153849616,1300,15594
42,36.10636329684665,0.02769594909846085,721,15458
43,39.24539939226933,0.025480693673281433,1059,15342
44,37.817882915604336,0.026442516685337297,893,15488
45,37.30331216017763,0.02680727104622975,822,15347
46,36.73855268866563,0.027219362952980844,745,14766
47,37.28116847911318,0.02682319360672001,829,15405
48,38.515830810876274,0.025963350106876455,936,14894
49,38.78816651081265,0.02578105875979568,1016,15741
50,37.64045080690788,0.026567163213052622,859,15274
51,38.09874002888184,0.02624758717064977,873,14669
52,38.467205281875685,0.02599616979378439,970,15482
53,35.91563404610412,0.02784302787795203,721,15600
54,35.150939312844955,0.0284487418984726,611,14616
55,25.26327097591008,0.039583156153989524,260,15245
56,36.17483818728669,0.027643523789180093,702,14748
57,35.894979035463045,0.02785904956267096,686,15116
58,34.95114315624649,0.028611367460273738,630,14908
59,35.37248093891518,0.028270564389501044,688,15586
60,36.48378940342774,0.02740943351421844,737,14870
61,37.55911380422915,0.026624696344337076,848,15140
