turn,topic,survivor_span,collapsed_span
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,d446719f-0475-4f85-b03d-6bf82f5965c8:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,cc8bf056-dc64-4e55-993f-f17023544862:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,9f259fb0-84a2-43a7-be63-b71cf20f0fbc:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,fdf5c440-5c94-48b7-8dd3-02583ef5b387:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,50926c2a-adf4-4b64-9b3b-1b48db765288:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,e18b2ff9-0181-4858-a088-72ce0c23c0d1:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,ce1fb1a9-bfb9-43a2-a943-65baa2fa3bdd:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,57800262-4e94-4c7c-86da-9ce3fe7d479a:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,b7722808-4dd3-40b0-84e7-308c9043f9a0:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:183:247,4ddcd1a1-c23d-442f-b7c9-e862dbb8514c:183:247
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,d446719f-0475-4f85-b03d-6bf82f5965c8:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,cc8bf056-dc64-4e55-993f-f17023544862:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,9f259fb0-84a2-43a7-be63-b71cf20f0fbc:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,fdf5c440-5c94-48b7-8dd3-02583ef5b387:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,50926c2a-adf4-4b64-9b3b-1b48db765288:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,e18b2ff9-0181-4858-a088-72ce0c23c0d1:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,ce1fb1a9-bfb9-43a2-a943-65baa2fa3bdd:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,57800262-4e94-4c7c-86da-9ce3fe7d479a:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,b7722808-4dd3-40b0-84e7-308c9043f9a0:251:332
83,topic_2,13eed852-8b08-494a-ab04-daed36476b83:251:332,4ddcd1a1-c23d-442f-b7c9-e862dbb8514c:251:332
83,topic_2,249fedb1-fccf-415c-946e-7cd41c5fe1df:93:157,b28b5f78-58d1-42f2-87bb-46087ea8a742:93:157
