turn,topic_id,topic,event_type,segmenter,extractor,episodes_evaluated,spans_evaluated,spans_eligible,survivors,records_written,marker_written,duplicates_collapsed,inference_calls
83,1b6fcf5a-7bf3-4794-829b-05d66bea0012,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,82,288,90,18,16,False,72,0
122,1b6fcf5a-7bf3-4794-829b-05d66bea0012,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,38,132,28,6,5,False,22,0
157,1b6fcf5a-7bf3-4794-829b-05d66bea0012,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,34,120,26,6,5,False,20,0
158,26cb538f-dd66-48c2-8419-71a9c772a9b9,topic_3,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,3,12,9,9,8,False,0,0
164,1b6fcf5a-7bf3-4794-829b-05d66bea0012,topic_2,transition,spacy:en_core_web_sm:3.8.0:sentencizer,spacy:en_core_web_sm:3.8.0:ner,6,20,4,4,4,False,0,0
