arm,checkpoint,questions,primary_score,strict_score,primary_fraction,strict_fraction
L,250,3,2.5,2.5,0.833333,0.833333
L,500,3,2.5,2.5,0.833333,0.833333
L,750,3,2.5,2.5,0.833333,0.833333
L,1000,14,14.0,14.0,1.000000,1.000000
S,250,3,1.5,1.5,0.500000,0.500000
S,500,3,1.5,1.5,0.500000,0.500000
S,750,3,1.5,1.5,0.500000,0.500000
S,1000,14,12.0,12.0,0.857143,0.857143
