turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,45.467226043495636,0.02199386430664063,2048,121
2,29.722127826931487,0.033644966666682964,78,1365
3,28.73285882369266,0.03480335897433971,78,1520
