candidates,relevance_ms,cluster_ms,select_ms,pack_ms,stage_total_ms,cluster_share
50,0.0804,1.4144,1.1627,1.1228,3.7803,0.3742
100,0.1526,2.7075,2.9778,2.8967,8.7346,0.3100
200,0.5385,13.2954,6.2962,3.4591,23.5892,0.5636
300,1.0333,26.6046,8.6839,3.4239,39.7457,0.6694
400,1.4612,34.6550,11.1477,3.8314,51.0953,0.6782
500,1.8104,42.9912,15.6430,5.1112,65.5558,0.6558
700,2.8862,88.7058,18.6693,3.4813,113.7426,0.7799
850,3.5068,108.6811,22.5161,3.1597,137.8637,0.7883
1000,4.1443,150.5200,28.3741,3.4235,186.4619,0.8072
