candidates,median_ms,min_ms,max_ms,us_per_candidate
50,4.2021,3.9193,4.7585,84.042
100,10.0084,9.7130,11.8004,100.084
200,25.0990,24.8205,25.6548,125.495
300,42.1223,41.5989,42.4357,140.408
400,53.9330,53.3834,54.3128,134.833
500,66.3637,66.0119,67.1082,132.727
700,118.8956,117.8514,124.2629,169.851
850,145.6763,143.3435,147.1326,171.384
1000,189.9897,188.8635,193.4553,189.990
