question,T6,S,L,T6_minus_S,T6_minus_L
Q1,1.0,1.0,1.0,0.0,0.0
Q2,1.0,1.0,1.0,0.0,0.0
Q3,1.0,1.0,1.0,0.0,0.0
Q4,0.0,1.0,1.0,-1.0,-1.0
Q5,1.0,0.0,1.0,1.0,0.0
Q6,1.0,1.0,1.0,0.0,0.0
Q7,1.0,0.5,1.0,0.5,0.0
Q8,1.0,0.5,1.0,0.5,0.0
Q9,1.0,1.0,1.0,0.0,0.0
Q10,1.0,0.0,1.0,1.0,0.0
Q11,0.0,0.0,0.0,0.0,0.0
Q12,1.0,1.0,1.0,0.0,0.0
Q13,1.0,1.0,1.0,0.0,0.0
Q14,1.0,0.0,0.5,1.0,0.5
