arm,turn,retrieval_payload_chars,episode_count,civil_episode_count,art_episode_count,monetary_episode_count,marine_episode_count,probe_episode_count,civil_serialized_chars,art_serialized_chars,monetary_serialized_chars,marine_serialized_chars,probe_serialized_chars
T6,120,60285,17,6,1,5,3,2,17902,3496,22135,13340,3309
T6,121,58317,15,5,2,4,2,2,15446,8602,20533,9622,4017
S,120,19924,10,9,0,0,0,1,17743,0,0,0,2099
S,121,20462,10,9,0,0,0,1,17743,0,0,0,2637
L,120,59309,17,13,1,1,1,1,40851,4888,6242,4199,2992
L,121,60620,18,11,3,1,2,1,31240,11316,6242,8024,3658
