turn,episode_id,episode_turn,topic,similarity,provenance,promoted_at_turn,trigger_type,triggered_filter,distilled_id,dream_event,event_type,source_episode_ids,source_turns,salience
32,f62487d4-2a32-48fd-b7e5-96a930a564e1,20,topic_2,0.23225119709968567,ltm,,,,b7b080a9-9e95-5d27-bccb-3aa55fb9f2a9,31,transition,"[""f62487d4-2a32-48fd-b7e5-96a930a564e1""]",[20],10
32,0047125e-95c7-403b-9432-4fff76a504e7,10,topic_2,0.22978945076465607,ltm,,,,7a2d30dd-2438-50b7-b85c-3f6d5c04149f,31,transition,"[""0047125e-95c7-403b-9432-4fff76a504e7""]",[10],8
32,cf650025-d9be-4309-9cdc-1c4fa92ebeef,18,topic_2,0.21011611819267273,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""cf650025-d9be-4309-9cdc-1c4fa92ebeef""]",[18],5
32,d99e89cd-952f-475a-8217-17f140810bdd,28,topic_2,0.20900514721870422,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""d99e89cd-952f-475a-8217-17f140810bdd""]",[28],3
32,79c79f84-4946-4449-af5c-a6d87d5614f8,22,topic_2,0.20383641123771667,ltm,,,,fbeaeb75-f073-5902-9779-1721fff9ccfd,31,transition,"[""79c79f84-4946-4449-af5c-a6d87d5614f8""]",[22],3
32,a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1,14,topic_2,0.167030468583107,ltm,,,,3e8f73a0-ff72-53ee-96ce-6e0aafd755b9,31,transition,"[""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1""]",[14],3
32,ac6aed73-d15b-418c-b028-5c57e4bc746b,29,topic_2,0.1637204885482788,ltm,,,,9404e66b-7dea-58b4-9049-4f55b2e9b2af,31,transition,"[""ac6aed73-d15b-418c-b028-5c57e4bc746b""]",[29],15
33,f62487d4-2a32-48fd-b7e5-96a930a564e1,20,topic_2,0.2331702709197998,ltm,,,,9a448704-637c-543d-b083-444cdbfba374,31,transition,"[""f62487d4-2a32-48fd-b7e5-96a930a564e1""]",[20],4
33,0047125e-95c7-403b-9432-4fff76a504e7,10,topic_2,0.16814304888248444,ltm,,,,7a2d30dd-2438-50b7-b85c-3f6d5c04149f,31,transition,"[""0047125e-95c7-403b-9432-4fff76a504e7""]",[10],8
33,d8a08467-0e6c-4271-98ab-06b11e5e2a6f,17,topic_2,0.15964394807815552,ltm,,,,0c36ce08-05f2-52c7-b5f2-aa9da621b064,31,transition,"[""d8a08467-0e6c-4271-98ab-06b11e5e2a6f""]",[17],15
33,ac6aed73-d15b-418c-b028-5c57e4bc746b,29,topic_2,0.1492612063884735,ltm,,,,9404e66b-7dea-58b4-9049-4f55b2e9b2af,31,transition,"[""ac6aed73-d15b-418c-b028-5c57e4bc746b""]",[29],15
33,a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1,14,topic_2,0.14327463507652283,ltm,,,,3e8f73a0-ff72-53ee-96ce-6e0aafd755b9,31,transition,"[""a7c9cbfe-bbe9-41f0-94b5-5316b96c36f1""]",[14],3
33,d4e53f8d-2c03-431b-9188-0ec8c67ac98d,24,topic_2,0.14186932146549225,ltm,,,,5bbdc389-7e1d-589a-bced-a04a83c6b003,31,transition,"[""d4e53f8d-2c03-431b-9188-0ec8c67ac98d""]",[24],10
33,d99e89cd-952f-475a-8217-17f140810bdd,28,topic_2,0.14033854007720947,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""d99e89cd-952f-475a-8217-17f140810bdd""]",[28],3
33,cf650025-d9be-4309-9cdc-1c4fa92ebeef,18,topic_2,0.13719411194324493,ltm,,,,af4550cd-4e27-5916-8147-e885f39ec147,31,transition,"[""cf650025-d9be-4309-9cdc-1c4fa92ebeef""]",[18],13
34,cf650025-d9be-4309-9cdc-1c4fa92ebeef,18,topic_2,0.2648565471172333,ltm,,,,7188a7bd-b8dc-5e14-87e4-8106c4d50bbe,31,transition,"[""cf650025-d9be-4309-9cdc-1c4fa92ebeef""]",[18],5
34,f62487d4-2a32-48fd-b7e5-96a930a564e1,20,topic_2,0.2640601694583893,ltm,,,,8beeff18-1ca1-5644-a60b-df91a6ce097f,31,transition,"[""f62487d4-2a32-48fd-b7e5-96a930a564e1""]",[20],3
34,d99e89cd-952f-475a-8217-17f140810bdd,28,topic_2,0.22870445251464844,ltm,,,,39d11edb-b481-51f0-b8b7-b99a16479c8d,31,transition,"[""d99e89cd-952f-475a-8217-17f140810bdd""]",[28],3
