layer_slot,model_layer,head,score,selected
7,31,16,0.005208333333333333,False
7,31,17,0.44791666666666669,True
7,31,18,0.09375,False
7,31,19,0.67708333333333337,True
7,31,20,0.17708333333333334,True
7,31,21,0.65104166666666663,True
7,31,22,0.125,True
7,31,23,0.22916666666666666,True
8,35,0,0,False
8,35,1,0.0625,False
8,35,2,0.026041666666666668,False
8,35,3,0.010416666666666666,False
8,35,4,0.083333333333333329,False
8,35,5,0.036458333333333336,False
8,35,6,0.375,True
8,35,7,0.083333333333333329,False
8,35,8,0.052083333333333336,False
8,35,9,0.098958333333333329,False
8,35,10,0.45833333333333331,True
8,35,11,0.28125,True
8,35,12,0.03125,False
8,35,13,0.005208333333333333,False
8,35,14,0.15104166666666666,True
8,35,15,0.010416666666666666,False
8,35,16,0.15625,True
8,35,17,0.026041666666666668,False
8,35,18,0.041666666666666664,False
8,35,19,0.22395833333333334,True
8,35,20,0.4375,True
8,35,21,0.03125,False
8,35,22,0.47916666666666669,True
8,35,23,0.22916666666666666,True
9,39,0,0.30208333333333331,True
9,39,1,0.38541666666666669,True
9,39,2,0.3125,True
9,39,3,0.072916666666666671,False
9,39,4,0.52604166666666663,True
9,39,5,0,False
9,39,6,0.1875,True
9,39,7,0.30729166666666669,True
9,39,8,0.10416666666666667,True
9,39,9,0.18229166666666666,True
9,39,10,0.33333333333333331,True
9,39,11,0.296875,True
9,39,12,0.22916666666666666,True
9,39,13,0.10416666666666667,True
9,39,14,0.015625,False
9,39,15,0.39583333333333331,True
9,39,16,0.088541666666666671,False
9,39,17,0.067708333333333329,False
9,39,18,0.140625,True
9,39,19,0.052083333333333336,False
9,39,20,0.36458333333333331,True
9,39,21,0.234375,True
9,39,22,0.10416666666666667,True
9,39,23,0.31770833333333331,True
10,43,0,0.067708333333333329,False
10,43,1,0.22916666666666666,True
10,43,2,0.052083333333333336,False
10,43,3,0.34895833333333331,True
10,43,4,0,False
10,43,5,0.072916666666666671,False
10,43,6,0.21354166666666666,True
10,43,7,0.26041666666666669,True
10,43,8,0.22395833333333334,True
10,43,9,0.19270833333333334,True
10,43,10,0.09375,False
10,43,11,0.005208333333333333,False
10,43,12,0.32291666666666669,True
10,43,13,0.47916666666666669,True
10,43,14,0.44270833333333331,True
10,43,15,0.140625,True
10,43,16,0.77604166666666663,True
10,43,17,0.546875,True
10,43,18,0.13541666666666666,True
10,43,19,0.11458333333333333,True
10,43,20,0.21875,True
10,43,21,0.005208333333333333,False
10,43,22,0.27604166666666669,True
10,43,23,0.020833333333333332,False
11,47,0,0.046875,False
11,47,1,0.375,True
11,47,2,0.31770833333333331,True
11,47,3,0.25,True
11,47,4,0.078125,False
11,47,5,0.3125,True
11,47,6,0.046875,False
11,47,7,0.083333333333333329,False
11,47,8,0,False
11,47,9,0.11979166666666667,True
11,47,10,0.359375,True
11,47,11,0.16145833333333334,True
