cell,code_dimension,active_count,g1,g2,g3,g4,g5,stored_fixed_points,one_swap_recoveries,ten_percent_recoveries,disposition,mechanism_digest
d2048_k20,2048,20,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,117,0,0,SPARSE_CODES_NOT_STORED,688d530ada9c8c87ad44df6b2123d1f93a468060ead73487f300a9d78a988176
d2048_k41,2048,41,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,109,0,0,SPARSE_CODES_NOT_STORED,0c06b4e270958bcd5c5f051e4926a7d829e527bb3c9bcb03a45b6131957ca42a
d2048_k102,2048,102,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,103,0,0,SPARSE_CODES_NOT_STORED,4860d0bc1672f1f33fa253fdb3c919e87e475c5961cc4bfe91ced5400509e4ec
d4096_k41,4096,41,PASS,PASS,PASS,PASS,PASS,119,119,119,SPARSE_ENGRAM_CANDIDATE_CHARACTERIZED,e7145636c824f66c2e88f6f93a07a4a16092ac4d3247abcd1db1031f313ef35f
d4096_k82,4096,82,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,110,0,0,SPARSE_CODES_NOT_STORED,4bfc99e53d791600cec43574354467b0d9d6cb4411c7cb39ce7d7a5fa6a3e2fa
d4096_k205,4096,205,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,101,0,0,SPARSE_CODES_NOT_STORED,83aa0dd5137a9506f9b351c2b565f30a811dd8bf58d7ea9030ccbe83c98cc19e
d8192_k82,8192,82,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,118,0,0,SPARSE_CODES_NOT_STORED,67c3d42527c11df36c51ffb4d934f5d8c344c51b9efd6c80af701266b0983cb7
d8192_k164,8192,164,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,111,0,0,SPARSE_CODES_NOT_STORED,29434a4063b0c05d8a4562264948b9b31edf93af7559cf41f2bbcefef7e782e1
d8192_k410,8192,410,PASS,PASS,FAIL,NOT_REACHED,NOT_REACHED,92,0,0,SPARSE_CODES_NOT_STORED,566bbbc165377e2b6f504cd707b6c3c15f9e33f0c4c9e87935cd1862ea8feca5
