turn,stm_candidates,ltm_candidates,duplicates_removed,final_set_size,ltm_episodes_in_final_set,provenance_list
30,2,0,0,2,0,"[{""episode_id"":""c34326a9-3d6b-4dd1-b464-2bdb9e8ddda3"",""provenance"":""stm""},{""episode_id"":""dead3408-d2dd-49e0-b659-84a1859717ca"",""provenance"":""stm""}]"
31,0,0,0,0,0,[]
32,0,0,0,0,0,[]
33,0,0,0,0,0,[]
34,0,0,0,0,0,[]
35,0,0,0,0,0,[]
36,0,0,0,0,0,[]
37,0,0,0,0,0,[]
38,0,0,0,0,0,[]
39,0,0,0,0,0,[]
40,0,0,0,0,0,[]
41,0,0,0,0,0,[]
42,0,0,0,0,0,[]
43,0,0,0,0,0,[]
44,0,0,0,0,0,[]
45,0,0,0,0,0,[]
46,1,0,0,1,0,"[{""episode_id"":""72f6c23b-1808-4365-a270-53b61f4cb52b"",""provenance"":""stm""}]"
47,0,0,0,0,0,[]
48,0,0,0,0,0,[]
49,0,0,0,0,0,[]
50,0,0,0,0,0,[]
51,1,0,0,1,0,"[{""episode_id"":""f2b4d116-f7e1-4412-a842-8f2c615d51ae"",""provenance"":""stm""}]"
52,0,0,0,0,0,[]
53,1,0,0,1,0,"[{""episode_id"":""f69dc714-d4fe-48db-a93c-d5d62f920a64"",""provenance"":""stm""}]"
54,0,0,0,0,0,[]
55,0,0,0,0,0,[]
56,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
57,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
58,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
59,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
60,1,0,0,1,0,"[{""episode_id"":""5f4c51fa-4a6f-492d-86a8-e9e02d3f8e08"",""provenance"":""stm""}]"
61,0,0,0,0,0,[]
62,0,0,0,0,0,[]
63,0,0,0,0,0,[]
64,0,0,0,0,0,[]
65,0,0,0,0,0,[]
66,0,0,0,0,0,[]
67,1,0,0,1,0,"[{""episode_id"":""aa14d844-db0a-471d-85a6-13d562d579aa"",""provenance"":""stm""}]"
68,0,0,0,0,0,[]
69,1,0,0,1,0,"[{""episode_id"":""42a021c5-3a41-43d9-94b1-2b9e0cd8cd1b"",""provenance"":""stm""}]"
70,0,0,0,0,0,[]
71,0,0,0,0,0,[]
72,0,0,0,0,0,[]
73,0,0,0,0,0,[]
74,0,0,0,0,0,[]
75,0,0,0,0,0,[]
